model,method,feature_set,wasserstein,compression_ratio,spearman_rho,dose_response_slope,pairwise_accuracy,rmse
gemma2-9b,raw,-,2.6346,0.6,0.7042,-3.0278,0.6752,3.4319
gemma2-9b,aux_Ridge,A1,1.2145,1.0,0.7335,-5.8828,0.8232,2.5155
gemma2-9b,aux_XGBoost,A1,0.975,1.0,0.7294,-6.8649,0.8218,2.4014
gemma2-9b,aux_Ridge,A2,1.2272,1.0,0.7362,-6.0123,0.825,2.4854
gemma2-9b,aux_XGBoost,A2,0.974,1.0,0.7298,-6.8769,0.8222,2.3993
gemma2-9b,aux_Ridge,B,0.9715,1.0,0.7382,-6.6901,0.8265,2.3986
gemma2-9b,aux_XGBoost,B,0.9973,0.9872,0.7248,-6.817,0.8195,2.4194
gemma2-9b,aux_Ridge,C,0.9557,1.0,0.7379,-6.811,0.8262,2.3802
gemma2-9b,aux_XGBoost,C,0.9992,0.9886,0.7306,-6.8475,0.8223,2.3983
gpt-oss-120b-fireworks,raw,-,1.5642,0.9,0.617,-4.7883,0.6999,2.9248
gpt-oss-120b-fireworks,aux_Ridge,A1,1.1893,0.8115,0.6884,-6.239,0.8015,2.5057
gpt-oss-120b-fireworks,aux_XGBoost,A1,1.0654,1.0,0.6976,-6.5781,0.8077,2.4689
gpt-oss-120b-fireworks,aux_Ridge,A2,1.1886,0.8243,0.6886,-6.2342,0.8018,2.5091
gpt-oss-120b-fireworks,aux_XGBoost,A2,1.0684,1.0,0.697,-6.5597,0.8074,2.47
gpt-oss-120b-fireworks,aux_Ridge,B,1.1568,1.0,0.6909,-6.4619,0.8036,2.4649
gpt-oss-120b-fireworks,aux_XGBoost,B,1.0592,0.9781,0.6987,-6.61,0.8084,2.4683
gpt-oss-120b-fireworks,aux_Ridge,C,1.1498,1.0,0.6914,-6.4741,0.8041,2.4629
gpt-oss-120b-fireworks,aux_XGBoost,C,1.0532,0.983,0.6979,-6.6158,0.808,2.4692
llama3.1-8b,raw,-,3.3231,0.7,0.4638,-1.5711,0.4593,4.3766
llama3.1-8b,aux_Ridge,A1,1.4664,0.8289,0.5365,-3.6357,0.7227,2.986
llama3.1-8b,aux_XGBoost,A1,1.3432,0.9422,0.5491,-4.2454,0.73,2.938
llama3.1-8b,aux_Ridge,A2,1.4673,0.8203,0.536,-3.6315,0.7224,2.9867
llama3.1-8b,aux_XGBoost,A2,1.3458,0.9417,0.5478,-4.222,0.7293,2.9412
llama3.1-8b,aux_Ridge,B,1.5205,0.8845,0.534,-3.5943,0.7221,2.9948
llama3.1-8b,aux_XGBoost,B,1.333,0.9805,0.5741,-4.5649,0.7425,2.8774
llama3.1-8b,aux_Ridge,C,1.4237,0.9437,0.5509,-3.8877,0.7307,2.9506
llama3.1-8b,aux_XGBoost,C,1.34,0.9626,0.5686,-4.5147,0.7403,2.891
minimax-m2p1-fireworks,raw,-,0.9603,1.0,0.4725,-4.2408,0.6516,3.3473
minimax-m2p1-fireworks,aux_Ridge,A1,1.6187,0.7472,0.5049,-3.1648,0.7105,3.0586
minimax-m2p1-fireworks,aux_XGBoost,A1,1.4891,1.0,0.5405,-4.3288,0.7272,2.9006
minimax-m2p1-fireworks,aux_Ridge,A2,1.6177,0.7522,0.5045,-3.1642,0.7104,3.0588
minimax-m2p1-fireworks,aux_XGBoost,A2,1.4811,0.9789,0.5384,-4.3204,0.7259,2.9065
minimax-m2p1-fireworks,aux_Ridge,B,1.5959,0.86,0.5204,-3.6212,0.7184,2.9856
minimax-m2p1-fireworks,aux_XGBoost,B,1.4607,1.0,0.5525,-4.4782,0.7325,2.8698
minimax-m2p1-fireworks,aux_Ridge,C,1.5792,0.7816,0.5235,-3.6621,0.7196,2.9792
minimax-m2p1-fireworks,aux_XGBoost,C,1.4556,1.0,0.5482,-4.4524,0.7306,2.8818
mistral-7b,raw,-,4.0854,0.1,0.0834,-0.0314,0.0145,4.9009
mistral-7b,aux_Ridge,A1,2.3103,0.518,-0.0479,-0.2198,0.3824,2.9069
mistral-7b,aux_XGBoost,A1,2.3109,0.5216,-0.0479,-0.2146,0.3824,2.9077
mistral-7b,aux_Ridge,A2,2.3103,0.518,-0.0479,-0.2198,0.3824,2.9069
mistral-7b,aux_XGBoost,A2,2.311,0.5214,-0.0479,-0.2139,0.3824,2.9078
mistral-7b,aux_Ridge,B,2.3103,0.518,-0.0479,-0.2198,0.3824,2.9069
mistral-7b,aux_XGBoost,B,2.3109,0.5214,-0.0479,-0.2144,0.3824,2.9077
mistral-7b,aux_Ridge,C,2.3103,0.5183,-0.0479,-0.2199,0.3824,2.9069
mistral-7b,aux_XGBoost,C,2.3109,0.5216,-0.0479,-0.2146,0.3824,2.9077
phi4-14b,raw,-,3.0682,0.5,0.5481,-1.8056,0.53,3.8693
phi4-14b,aux_Ridge,A1,1.4765,1.0,0.5761,-4.2004,0.7444,2.8875
phi4-14b,aux_XGBoost,A1,1.4323,0.9393,0.5524,-4.0307,0.7343,2.9605
phi4-14b,aux_Ridge,A2,1.4761,1.0,0.5754,-4.1982,0.7441,2.8885
phi4-14b,aux_XGBoost,A2,1.4488,0.9296,0.5478,-3.968,0.7319,2.9742
phi4-14b,aux_Ridge,B,1.481,0.9904,0.5768,-4.2279,0.7443,2.8817
phi4-14b,aux_XGBoost,B,1.4333,0.9869,0.5743,-4.2148,0.7452,2.9112
phi4-14b,aux_Ridge,C,1.4255,0.9032,0.5769,-4.2634,0.7446,2.8772
phi4-14b,aux_XGBoost,C,1.4414,0.9513,0.5726,-4.1959,0.7444,2.9168
phi4-mini,raw,-,3.738,1.0,0.2394,-0.7933,0.3707,4.7845
phi4-mini,aux_Ridge,A1,2.0989,0.7844,0.3834,-1.6593,0.6588,3.2966
phi4-mini,aux_XGBoost,A1,1.7823,1.0,0.3688,-2.1634,0.6539,3.2929
phi4-mini,aux_Ridge,A2,2.0928,0.7682,0.3868,-1.6765,0.6603,3.294
phi4-mini,aux_XGBoost,A2,1.7747,1.0,0.3715,-2.184,0.6552,3.2883
phi4-mini,aux_Ridge,B,2.0952,0.8001,0.3627,-1.5656,0.651,3.3188
phi4-mini,aux_XGBoost,B,1.6937,1.0,0.4257,-2.7018,0.6779,3.2037
phi4-mini,aux_Ridge,C,1.9342,1.0,0.3939,-1.9347,0.6638,3.2626
phi4-mini,aux_XGBoost,C,1.6995,1.0,0.4164,-2.6357,0.6739,3.2182
qwen2.5-14b,raw,-,1.689,0.6,0.6181,-4.5708,0.6244,3.0272
qwen2.5-14b,aux_Ridge,A1,1.267,0.9425,0.63,-4.8109,0.7696,2.7649
qwen2.5-14b,aux_XGBoost,A1,1.1925,0.9966,0.6695,-5.6791,0.7895,2.6245
qwen2.5-14b,aux_Ridge,A2,1.2814,0.9894,0.6402,-4.858,0.7741,2.7578
qwen2.5-14b,aux_XGBoost,A2,1.1795,0.9946,0.67,-5.6841,0.7894,2.6214
qwen2.5-14b,aux_Ridge,B,1.1584,0.989,0.6658,-5.5419,0.7872,2.6484
qwen2.5-14b,aux_XGBoost,B,1.1731,1.0,0.7012,-6.0584,0.807,2.5198
qwen2.5-14b,aux_Ridge,C,1.1134,1.0,0.666,-5.6967,0.7873,2.6242
qwen2.5-14b,aux_XGBoost,C,1.1652,1.0,0.7027,-6.1028,0.8079,2.5116
qwen2.5-7b,raw,-,4.0114,0.4,0.3237,-0.5863,0.3574,4.9673
qwen2.5-7b,aux_Ridge,A1,2.003,0.88,0.3802,-1.9529,0.6585,3.2594
qwen2.5-7b,aux_XGBoost,A1,1.7715,1.0,0.3678,-2.234,0.6527,3.281
qwen2.5-7b,aux_Ridge,A2,1.9811,0.8925,0.3953,-2.0681,0.6647,3.2411
